The SAS System,,,,,,,,,,,
,,,,,,,,,,,
release_id,estimize_actual,anndats,ibes_actvalue,IBES_adj_actual,ticker,etick,y,ibes_right,estimize_right,formatted_date,
63226,-0.01,8/6/2014,-0.07,-0.07,BIOS,BIOS,0.06,0,0,8/6/2014,
63176,-0.23,2/26/2014,-0.02,-0.02,BIOS,BIOS,0.21,0,0,2/26/2014,
101507,0.68,3/9/2015,0.73,0.73,BITA,BITA,0.05,0,0,3/9/2015,
54887,0.58,4/17/2013,0.5,0.5,BK,BK,0.08,0,0,4/17/2013,
54876,0.68,10/17/2012,0.57,0.57,BK,BK,0.11,0,0,10/17/2012,
63454,-0.58,2/4/2015,0.53,0.53,BKD,BKD,1.11,0,0,2/4/2015,
29302,-1.08,6/19/2012,-0.98,-0.98,BKS,BKS,0.1,0,0,6/19/2012,
29453,-0.72,6/25/2014,-0.93,-0.93,BKS,BKS,0.21,0,0,6/25/2014,
29417,-2.11,6/25/2013,-1.8,-1.8,BKS,BKS,0.31,0,0,6/25/2013,
29359,-0.18,2/28/2013,1.08,1.08,BKS,BKS,1.26,0,0,2/28/2013,
52118,1.53,2/24/2015,1.75,1.75,BMO,BMO,0.22,0,0,2/24/2015,
59803,-0.16,10/23/2014,-0.38,-0.38,BMRN,BMRN,0.22,0,0,10/23/2014,
59820,-0.16,4/30/2015,-0.38,-0.38,BMRN,BMRN,0.22,0,0,4/30/2015,
59685,-0.11,2/26/2014,-0.43,-0.43,BMRN,BMRN,0.32,0,0,2/26/2014,
59873,-0.08,2/25/2015,-0.47,-0.47,BMRN,BMRN,0.39,0,0,2/25/2015,
19037,0.41,3/6/2012,0.44,0.44,BPI,BPI,0.03,0,0,3/6/2012,
19089,-0.12,3/11/2014,-0.02,-0.02,BPI,BPI,0.1,0,0,3/11/2014,
49814,0.36,1/26/2015,0.38,0.38,BRO,BRO,0.02,0,0,1/26/2015,
49514,0.4,4/21/2014,0.36,0.36,BRO,BRO,0.04,0,0,4/21/2014,
46501,0.28,7/29/2013,0.22,0.22,BWP,BWP,0.06,0,0,7/29/2013,
46509,0.08,2/10/2014,0.29,0.29,BWP,BWP,0.21,0,0,2/10/2014,
52453,1.23,4/14/2014,1.3,1.3,C,C,0.07,0,0,4/14/2014,
85669,2.54,10/22/2012,2.26,2.26,CAT,CAT,0.28,0,0,10/22/2012,
116488,-0.07,2/19/2015,-0.1,-0.1,CBB,CBB,0.03,0,0,2/19/2015,
116354,-0.06,2/27/2013,-0.01,-0.01,CBB,CBB,0.05,0,0,2/27/2013,
116409,-0.15,2/20/2014,-0.06,-0.06,CBB,CBB,0.09,0,0,2/20/2014,
116451,-0.14,11/5/2014,-0.01,-0.01,CBB,CBB,0.13,0,0,11/5/2014,
116445,0,8/7/2014,0.53,0.53,CBB,CBB,0.53,0,0,8/7/2014,
81723,1.91,2/25/2014,1.19,1.19,CBI,CBI,0.72,0,0,2/25/2014,
52005,0.5,5/3/2013,0.48,0.48,CBOE,CBOE,0.02,0,0,5/3/2013,
4647,1.06,10/17/2012,1,1,CCK,CCK,0.06,0,0,10/17/2012,
16999,-0.42,2/19/2013,0.01,0.01,CCO,CCO,0.43,0,0,2/19/2013,
115691,1.14,2/20/2014,0.09,0.09,CCOI,CCOI,1.05,0,0,2/20/2014,
33315,-0.23,11/6/2013,-0.46,-0.46,CDE,CDE,0.23,0,0,11/6/2013,
19369,-0.12,3/3/2015,-0.07,-0.07,CECO,CECO,0.05,0,0,3/3/2015,
35265,0.09,4/25/2013,0.05,0.05,CENX,CENX,0.04,0,0,4/25/2013,
35251,-0.35,2/23/2012,-0.31,-0.31,CENX,CENX,0.04,0,0,2/23/2012,
